taal,week,platform,postnummer,soort,bestand,kern,caption
nl,1,Instagram,1,post,(al gemaakt) Je vak is niet te zwaar,Je vak is niet te zwaar. Het is te klein.,"Te weinig uitdaging voelt als falen, maar het is een mismatch tussen jouw tempo en de functie. Vijftien minuten intake, direct een eerlijk inzicht. Link in bio."
nl,1,Instagram,2,post,(al gemaakt) Je capaciteit groeit door,Je capaciteit groeit door. Je opdracht niet.,"Dat gat wordt zelden benoemd, want je klaagt niet over te weinig werk. Deskshift maakt het zichtbaar en zet er een plan op. Link in bio."
nl,1,Instagram,3,reel,deskshift-video1.mp4,Je werk past in drie dagen. Niemand vraagt wat je met de rest doet.,"Een korte intake, dan drie richtingen met een plan van zes weken. Het eerste inzicht is gratis. Link in bio."
nl,1,TikTok,1,video,deskshift-tiktok1.mp4,"Het is donderdag. Dat is geen luiheid, dat is ruimte.",Ruimte die niemand voor je invult. Gratis inzicht in je eigen werkweek. #werk #loopbaan #deskshift
nl,1,TikTok,2,video,deskshift-tiktok2.mp4,Je noemt het stiekem. Wij noemen het een richting.,"Dat wat je al naast je werk doet, is vaker een richting dan een hobby. #werk #loopbaan #deskshift"
nl,1,TikTok,3,video,deskshift-tiktok3.mp4,Je twijfelt niet aan jezelf. Je twijfelt aan de richting.,Een ander probleem heeft een ander antwoord. #werk #loopbaan #deskshift
nl,2,TikTok,1,video,tt-w02-p1-onderbenut.mp4,Je bent niet lui. Je bent onderbenut.,"Je zegt tegen niemand dat je klaar bent, want dan lijk je ondankbaar. Deskshift zet het op papier. #werk #loopbaan #deskshift"
nl,2,TikTok,2,video,tt-w02-p2-overleg.mp4,Je agenda zit vol met overleg. Dat is opvulling.,Drukte is niet hetzelfde als werk. Kijk wat er echt in je week past. #werk #agenda #deskshift
nl,2,TikTok,3,video,tt-w02-p3-vijf-jaar.mp4,"Over vijf jaar: welke vaardigheid, niet welke functie.",De vraag die de intake stelt en die je zelden aan jezelf stelt. #loopbaan #ontwikkeling #deskshift
nl,2,Instagram,1,reel,ig-w02-p1-reel-dinsdag.mp4,Je bent op dinsdag klaar. En jij zegt niets.,"Drie dagen die niemand voor je invult. Vijftien minuten intake, direct een eerlijk inzicht. Link in bio."
nl,2,Instagram,2,reel,ig-w02-p2-reel-uitgegroeid.mp4,Je bent niet vastgelopen. Je bent uitgegroeid.,"Dat is een ander probleem, en het heeft een ander antwoord. Deskshift zoekt dat antwoord in je eigen woorden. Link in bio."
nl,2,Instagram,3,post,ig-w02-p3-post-verveling.png,Verveling op werk is geen luxeprobleem.,Te weinig uitdaging vreet net zo hard als te veel werk. Er bestaat alleen bijna geen hulp voor. Daarom bestaat Deskshift. Link in bio.
nl,3,TikTok,1,video,tt-w03-p1-schuiven.mp4,Je hoeft niet op te zeggen. Dat heet schuiven.,"Eén taak eruit, één vakgebied erbij. Vaak kan dat binnen je huidige baan. #werk #loopbaan #deskshift"
nl,3,TikTok,2,video,tt-w03-p2-collega-vraagt.mp4,"Waar collega’s je voor halen, daar zit je talent.",Alleen staat het op geen enkel papier. Deskshift zet het er wel op. #talent #werk #deskshift
nl,3,TikTok,3,video,tt-w03-p3-te-weinig.mp4,Te veel werk sloopt je. Te weinig uitdaging ook.,"Over dat tweede praat bijna niemand, en er bestaat nauwelijks hulp voor. #werk #loopbaan #deskshift"
nl,3,Instagram,1,reel,ig-w03-p1-reel-schuiven.mp4,Je hoeft niet weg. Je moet schuiven.,"Eén taak eruit, één vakgebied erbij. Deskshift rekent uit wat er in jouw week past. Link in bio."
nl,3,Instagram,2,reel,ig-w03-p2-reel-onbenutte-tijd.mp4,Die uren waarin je wacht zijn geen vrije tijd.,"Het is onbenutte tijd, van jou en van je werkgever. Deskshift maakt er een plan van. Link in bio."
nl,3,Instagram,3,post,ig-w03-p3-post-leegte.png,Ruimte zonder richting is leegte.,"Tijd over hebben geeft geen rust zolang die tijd niets doet. Vijftien minuten intake, direct een inzicht. Link in bio."
nl,4,TikTok,1,video,tt-w04-p1-leegte.mp4,Ruimte zonder richting is leegte.,"Je hebt tijd over en toch geen rust, want de tijd doet niets. #werk #rust #deskshift"
nl,4,TikTok,2,video,tt-w04-p2-gesprek.mp4,Ander werk vragen klinkt zo snel als klagen.,Daarom zeg je niets. Deskshift schrijft dat gesprek voor je uit. #werk #gesprek #deskshift
nl,4,TikTok,3,video,tt-w04-p3-vijftien-minuten.mp4,Vijftien minuten. Geen account. Gratis.,Eén eerlijk inzicht over jouw werkweek. Daarna kies je zelf. #werk #loopbaan #deskshift
nl,4,Instagram,1,reel,ig-w04-p1-reel-zonder-risico.mp4,"Geen geld nodig, geen risico. Wat ga je doen?","Dat antwoord is bruikbaar. Deskshift maakt het concreet, in een plan van zes weken. Link in bio."
nl,4,Instagram,2,reel,ig-w04-p2-reel-vijftien-minuten.mp4,Vijftien minuten. Geen account. Gratis.,Eén eerlijk inzicht over jouw werkweek. Daarna kies je zelf of je verder wilt. Link in bio.
nl,4,Instagram,3,post,ig-w04-p3-post-te-snel-klaar.png,Te snel klaar zegt iets over de functie. Niet over jou.,"Vier banen, hetzelfde patroon. Dat is geen karakterfout. Link in bio voor je eigen inzicht."
en,2,TikTok,,video,en-tt-w02-p1-underused.mp4,You are not lazy. You are underused.,"You tell nobody that you are done, because it would sound ungrateful. Deskshift puts it in writing. #boreout #careers #deskshift"
en,2,TikTok,,video,en-tt-w02-p2-meetings.mp4,Your calendar is full of meetings. That is filler.,Busy is not the same as work. See what actually fits in your week. #worklife #careers #deskshift
en,2,TikTok,,video,en-tt-w02-p3-five-years.mp4,"In five years: which skill, not which job title.",The question the intake asks and you rarely ask yourself. #careers #development #deskshift
en,2,Instagram,,reel,en-ig-w02-p1-reel-tuesday.mp4,It is Tuesday. You are done. And you say nothing.,"Three days that nobody fills for you. Fifteen minutes of questions, then one honest read on your own week. Link in bio."
en,2,Instagram,,reel,en-ig-w02-p2-reel-outgrown.mp4,You are not stuck. You have outgrown it.,"That is a different problem, and it has a different answer. Deskshift looks for it in your own words. Link in bio."
en,2,Instagram,,post,en-ig-w02-p3-post-boredom.png,Being bored at work is not a luxury problem.,Too little challenge wears you down as fast as too much work. There is just almost no help for it. That is why this exists. Link in bio.
en,3,TikTok,,video,en-tt-w03-p1-shifting.mp4,You do not have to quit. That is shifting.,"One task out, one new field in. Often that fits inside the job you have. #jobcrafting #careers #deskshift"
en,3,TikTok,,video,en-tt-w03-p2-colleagues-ask.mp4,What colleagues come to you for is your talent.,Only it is written down nowhere. Deskshift puts it on paper. #talent #careers #deskshift
en,3,TikTok,,video,en-tt-w03-p3-too-little.mp4,Too much work wears you down. So does too little.,"Nobody talks about the second one, and there is barely any help for it. #boreout #worklife #deskshift"
en,3,Instagram,,reel,en-ig-w03-p1-reel-shift.mp4,You do not have to leave. You have to shift.,"One task out, one field in. Deskshift works out what actually fits your week. Link in bio."
en,3,Instagram,,reel,en-ig-w03-p2-reel-unused-hours.mp4,The hours you spend waiting are not time off.,"Not time off. Unused hours, yours and your employer's. Deskshift turns them into a plan. Link in bio."
en,3,Instagram,,post,en-ig-w03-p3-post-emptiness.png,Time without direction is emptiness.,"Hours to spare give you no peace while those hours do nothing. Fifteen minutes, and the first insight is free. Link in bio."
en,4,TikTok,,video,en-tt-w04-p1-emptiness.mp4,Time without direction is not rest.,"You have hours to spare and still no peace, because the hours do nothing. #worklife #boreout #deskshift"
en,4,TikTok,,video,en-tt-w04-p2-the-conversation.mp4,Asking for different work sounds like complaining.,"So you say nothing, for a year. Deskshift writes that conversation out for you. #careers #work #deskshift"
en,4,TikTok,,video,en-tt-w04-p3-fifteen-minutes.mp4,Fifteen minutes. No account. Free.,One honest read on your working week. Then you choose. #careers #worklife #deskshift
